county,TotalCasesPer100K,TotalDeathsPer100K,NewPoverty
"Arlington, Virginia",668287.05115582,19115.250899648854,8.140847107618043
"Armstrong, Pennsylvania",581326.7003311507,14270.944153917617,13.00728980925124
"Armstrong, Texas",623950.233281493,25816.48522550544,7.5
"Aroostook, Maine",105560.72051133063,2823.939570017432,17.6165717606043
"Arthur, Nebraska",481947.74346793344,950.1187648456057,10.900000000000002
"Ashe, North Carolina",597886.9302724258,8526.813997689413,19.50897775127641
"Ashland, Ohio",541890.0917465619,8686.842154637048,14.216838965083774
"Ashland, Wisconsin",723708.7267887698,9785.15748780024,14.50997528360479
"Ashley, Arkansas",861085.1668191227,15280.920514178422,21.332039863270907
"Ashtabula, Ohio",490283.1011336213,15711.504532457262,19.80107075500396
"Asotin, Washington",498566.8718271261,11361.696392470461,13.523855519115862
"Atascosa, Texas",866245.6635991608,22034.109557739048,14.602212343422174
"Atchison, Kansas",941418.6809182558,7785.740313373011,18.61072513057209
"Atchison, Missouri",582155.5763823804,9015.93252108716,12.118762886597938
"Athens, Ohio",608794.5945121485,1973.6741759834051,36.20660738526303
"Atkinson, Georgia",1620185.2520149164,19968.72368579334,27.322530975580417
"Atlantic, New Jersey",786798.9858056762,29933.388537552302,15.111247371082271
"Atoka, Oklahoma",1127066.6954457154,3849.197784013238,19.23629038060292
"Attala, Mississippi",1409454.9143131706,49276.60028829214,22.904986386204687
"Audrain, Missouri",923549.2760936226,15421.340682373946,17.235197764235533
"Audubon, Iowa",839975.485904395,14095.604972859393,11.203291892838385
"Auglaize, Ohio",940414.6096378173,15247.49879854952,9.04451046354144
"Augusta, Virginia",516248.15163328405,5084.016668907111,9.098704126898776
"Aurora, South Dakota",1913508.57977364,34246.075209930634,6.2
"Austin, Texas",557507.1691929537,8517.684009285811,13.394950839819748
"Autauga, Alabama",1173659.059524675,16429.246311505198,13.756290428083435
"Avery, North Carolina",981305.9595095523,7619.047619047618,14.1689250071286
"Baca, Colorado",619352.1362747835,3686.121195196872,19.622759005864285
"Bacon, Georgia",1626456.24612111,37246.209770369715,23.122883234329283
"Bailey, Texas",1351577.909270217,24119.470273316427,22.3
"Baker, Florida",1475135.2725423975,20241.85641137379,17.16939027490286
"Baker, Georgia",906551.8302060905,41248.84650876654,19.486834820055368
"Baker, Oregon",347847.30913642055,4148.936170212766,15.083854818523154
"Baldwin, Alabama",985231.6089693155,11330.153422501968,11.869655782848152
"Baldwin, Georgia",1263298.7018692205,35862.23559645924,28.66549300415138
"Ballard, Kentucky",379244.3572129539,4268.891069676153,18.17517173699705
"Baltimore, Maryland",770080.626378016,23766.136438512884,9.797469096842164
"Baltimore city, Maryland",872735.7065873287,23785.24546786362,22.17431412916508
"Bamberg, South Carolina",1164546.5570677808,49845.03436194583,24.8675987063738
"Bandera, Texas",382126.10245824733,10334.95965471946,16.4991367986489
"Banks, Georgia",980613.1895659751,15395.08794859228,14.3123999346512
"Banner, Nebraska",365521.978021978,0.0,8.9
"Bannock, Idaho",908401.7928263169,8142.617669088012,17.72294413467597
"Baraga, Michigan",787634.0326340327,31421.91142191142,14.512027972027973
"Barber, Kansas",628909.2762487257,3710.4994903160036,15.910825688073396
"Barbour, Alabama",1025804.3586122666,15560.474791038509,26.86798977138277
"Barbour, West Virginia",531870.160810006,7873.734365693866,22.967516378796905
"Barnes, North Dakota",1283301.4310454836,22304.2566766931,10.06749612615076
"Barnstable, Massachusetts",432722.7676484339,26250.584385226743,7.491810659186536
"Barnwell, South Carolina",1058509.2711584358,23421.149256471454,27.07637690471819
