county,TotalPop,PorPop,IncomePerCap,NewPoverty
"Clearwater County, Minnesota",8824,158493.2,24460.333333333332,17.961604714415234
"Cleburne County, Alabama",14939,287560.4,20837.25,19.24897248811835
"Cleburne County, Arkansas",25361,389637.80000000005,26442.714285714286,15.363660738929855
"Clermont County, Ohio",202166,1977467.2,32003.4358974359,9.78140340116538
"Cleveland County, Arkansas",8332,160751.40000000002,23499.0,19.29325492078733
"Cleveland County, North Carolina",97038,1927529.3,21470.590909090908,19.86365444465055
"Cleveland County, Oklahoma",274024,3880933.7,28941.048387096773,14.162751072898725
"Clinch County, Georgia",6788,267775.3,15744.0,39.44833529758397
"Clinton County, Illinois",37640,357672.8,30040.875,9.502465462274175
"Clinton County, Indiana",32455,433041.7,23444.625,13.342834694191959
"Clinton County, Iowa",47587,623251.8,27607.916666666668,13.09710214974678
"Clinton County, Kentucky",10208,205016.5,19371.0,20.083904780564264
"Clinton County, Michigan",77321,782348.8,31054.454545454544,10.118192987674758
"Clinton County, Missouri",20495,227255.8,27704.0,11.088353256891924
"Clinton County, New York",81224,1234173.4,25452.36842105263,15.194688761942283
"Clinton County, Ohio",41869,619680.5,24772.666666666668,14.800460961570613
"Clinton County, Pennsylvania",39321,703017.0,22830.555555555555,17.878919661249714
"Cloud County, Kansas",9191,109161.90000000001,25837.25,11.877042759220979
"Coahoma County, Mississippi",24296,873935.9,17867.571428571428,35.97036137635825
"Coal County, Oklahoma",5666,114822.5,23297.0,20.265178256265443
